,press_date,press_name,ranking,title
92,2024. 9. 16. 월,SBS,4,"""황금 같은 연휴인데""…출발 직전 결항에 발 묶인 여행객"
93,2024. 9. 16. 월,SBS,5,70곳 넘게 전화…임신부 '응급실 뺑뺑이'
94,2024. 9. 16. 월,SBS,6,신축은 비싸고 재건축 기약 없고…10년 안팎 아파트 뜬다
95,2024. 9. 16. 월,SBS,7,괴산 칠보산 사찰 인근서 70대 남성 숨진 채 발견
96,2024. 9. 16. 월,SBS,8,유럽 대륙서 영국 가려다 보트 뒤집혀…8명 사망
97,2024. 9. 16. 월,SBS,9,"""원금 보장"" 거액 투자하자 먹튀…업체 가보니 정부청사?"
98,2024. 9. 16. 월,SBS,10,"""귀성길인데 민소매"" 여름 같은 한가위…곳곳 폭염특보"
99,2024. 9. 16. 월,MBN,1,"""푸바오급 인기""…태국 아기하마 '무뎅', 얼마나 귀엽길래"
100,2024. 9. 16. 월,MBN,2,"[단독] ""이웃집 주민이 폭행당하고 있다""…교제폭력 후 도주하다 추락한 남성"
101,2024. 9. 16. 월,MBN,3,"해리스, 흑인 표심 호소…트럼프 장남 ""제3세계 IQ"" 비하"
102,2024. 9. 16. 월,MBN,4,연휴 내내 30도 이상 폭염... '추분' 지나야 늦더위 탈출
103,2024. 9. 16. 월,MBN,5,신고도 안 하고 배짱 영업…주변 상인들은 분통
104,2024. 9. 16. 월,MBN,6,"밤엔 닫는 동네병원, 아프면 어디로?…""일반 응급실은 부담금 그대로"""
105,2024. 9. 16. 월,MBN,7,늘어나는 난청 환자 …이어폰 끼다가 보청기 찬다
106,2024. 9. 16. 월,MBN,8,월병 너마저…얇아진 지갑에 중추절 선물 인심도 '꽁꽁'
107,2024. 9. 16. 월,MBN,9,"""트럼프를 요리"" 해리스 밈 돌풍 만든 25세 MZ팀"
108,2024. 9. 16. 월,MBN,10,손그림 일기도 그리던 대한민국 '1호 기상캐스터'…김동완 전 통보관 별세
109,2024. 9. 16. 월,한겨레,1,“윤 대통령 선물세트 팝니다”…중고거래 ‘명절테크’ 성행
110,2024. 9. 16. 월,한겨레,2,"김건희, 추석 연휴에도 공개 행보…민주 “가야할 곳은 특검 조사실”"
111,2024. 9. 16. 월,한겨레,3,추석 연휴 월요일도 ‘체감 35도’ 찜통…오전부터 천둥 동반 빗줄기
